Title,Date,Sentiment,Confidence
Fickle Investors Bobbing in Sea of Subprime Loans,"March 17, 2007",neutral,0.7158241271972656
Fannie Mae Ends Purchases of Loans by New Century,"March 21, 2007",neutral,0.6760164499282837
South Korean subprime lending is shrinking,"March 21, 2007",negative,0.6362608671188354
Hedge Fund Lends a Hand to Accredited Home,"March 21, 2007",neutral,0.7988530993461609
U.S. bank regulator admits some fault in mortgage crisis,"March 22, 2007",neutral,0.6908814311027527
The Blame Game,"March 23, 2007",neutral,0.8156978487968445
Morgan Stanley to Sell Subprime Lender’s Loans,"March 27, 2007",neutral,0.9350534677505493
Deal Makers Are Setting a Torrid Pace for 2007,"March 30, 2007",neutral,0.5379651188850403
"Homeowners, Call Your Bankers Before They Call You","March 31, 2007",neutral,0.9326459765434265
"Another Fine Mess, Born of Excess","April 8, 2007",neutral,0.8334054350852966
Defaults Rise in Next Level of Mortgages,"April 10, 2007",neutral,0.4995637834072113
U.S. subprime problems spill over to safer mortgages,"April 10, 2007",neutral,0.5119055509567261
Realtors Expect Home Prices to Show First Annual Decline,"April 12, 2007",negative,0.6017441153526306
Senate Democrats call for home-loan bailouts,"April 12, 2007",neutral,0.558113157749176
Recession Pessimism,"April 12, 2007",neutral,0.5838797688484192
U.S. high court limits state control of national banks,"April 17, 2007",neutral,0.9379985332489014
A Warning on Derivatives,"April 18, 2007",neutral,0.7041760087013245
Mortgages’ Mystery: The Losses,"April 22, 2007",neutral,0.816067636013031
East Coast Money Lent Out West,"May 8, 2007",neutral,0.727009117603302
Fed Chairman Sees Mortgage Damage as Limited,"May 18, 2007",neutral,0.632140040397644
Beware of Exploding Mortgages,"June 10, 2007",neutral,0.8599162697792053
"U.S. subprime woes could hurt Swiss banks, report says","June 14, 2007",negative,0.5574656128883362
More Trouble in Subprime Mortgages,"June 15, 2007",negative,0.44694390892982483
Mortgages Give Wall St. New Worries,"June 19, 2007",neutral,0.4968456029891968
"New Homes Construction Declined 2.1% in May, as Expected","June 20, 2007",negative,0.6342295408248901
$3.2 Billion Move by Bear Stearns to Rescue Fund,"June 23, 2007",neutral,0.8220085501670837
Bear Stearns in $3.2 billion bailout of fund,"June 23, 2007",neutral,0.7773837447166443
Bear Stearns fund chief struggles to fend off the 'Persian Hordes',"June 28, 2007",neutral,0.5859654545783997
Bear Stearns fund chief struggles to fend off the 'hordes',"June 28, 2007",neutral,0.5920584201812744
Bear Stearns chief weathers the storm,"June 29, 2007",neutral,0.46473395824432373
Will Subprime Rules Bring Lower Prices?,"June 29, 2007",neutral,0.669044017791748
U.S. Tightens Rules on Subprime Mortgages,"June 30, 2007",neutral,0.7727510929107666
A False Sense of Security? You Must Own a Home,"July 1, 2007",neutral,0.9512461423873901
"Posing as rescuers, companies prey on struggling homeowners","July 3, 2007",neutral,0.6240651607513428
Banking Regulators to Increase Scrutiny of Subprime Lenders,"July 18, 2007",neutral,0.6634597778320312
Subprime Woes Rock Australian Hedge Fund,"July 19, 2007",neutral,0.4260808527469635
Debt Market Is Squeezing Private Equity,"July 21, 2007",neutral,0.7499607801437378
Mr. Vranos Has a Deal for You,"July 22, 2007",neutral,0.755396842956543
Is G.E. Too Big for Its Own Good?,"July 22, 2007",neutral,0.880277693271637
Daimler Says Snag Won’t Halt Sale,"July 25, 2007",neutral,0.5522669553756714
Chrysler Deal in a Struggle for Financing,"July 26, 2007",neutral,0.6258937120437622
Stocks Slide on Growth and Lending Worries,"July 26, 2007",negative,0.7224599719047546
Asian Stocks Fall Sharply After U.S. Sell-Off,"July 27, 2007",negative,0.7841378450393677
Stock markets in Asia suffer from Wall Street contagion,"July 27, 2007",negative,0.6591863632202148
"On Wall Street, Hiring Spree Meets Credit Crunch","July 30, 2007",neutral,0.4498850107192993
German Lender Hit by U.S. Subprime Woes,"July 31, 2007",negative,0.5910557508468628
More Lenders Feeling Pain From Defaults,"July 31, 2007",negative,0.477973610162735
U.S. subprime losses leave German state-owned bank with €8.1 billion charge,"July 31, 2007",negative,0.47901928424835205
U.S. mortgage troubles extend to Germany,"July 31, 2007",neutral,0.4743168354034424
German Bank Suffers from Mortgage Market Troubles,"July 31, 2007",negative,0.4815835654735565
American Home Collapses,"July 31, 2007",neutral,0.5408442616462708
U.S. mortgage crisis hits Pacific Rim markets,"Aug. 1, 2007",negative,0.4727645814418793
Ripple effects from U.S. mortgage crisis hit Pacific Rim,"Aug. 1, 2007",negative,0.6209570169448853
Germany: Unit Gives Bank a Lift,"Aug. 2, 2007",positive,0.5235379934310913
Charles Prince says Citibank will keep moving despite market pullback,"Aug. 2, 2007",positive,0.5461463332176208
Asia sees 'realignment' of risk in response to U.S. subprime woes,"Aug. 2, 2007",positive,0.42630907893180847
Bundesbank chief seeks to calm fears of banking crisis in Germany,"Aug. 2, 2007",neutral,0.5750635862350464
Credit Suisse’s Profits Rise 48 Percent,"Aug. 2, 2007",positive,0.8416643738746643
European Banks Report Strong Second Quarters,"Aug. 3, 2007",positive,0.8240469694137573
"Without Cash, Instant Profits Were No Help","Aug. 3, 2007",neutral,0.5452322363853455
Is the Dance Over? Citigroup Is Upbeat,"Aug. 3, 2007",neutral,0.6926279664039612
Shockwaves continue to rattle German banks after IKB bailout,"Aug. 3, 2007",negative,0.6081601977348328
"Mortgage crisis unlikely to upset the broader U.S. economy, Treasury official says","Aug. 3, 2007",negative,0.3872140347957611
A Volatile Week Ends With a Thud,"Aug. 5, 2007",neutral,0.6216098666191101
Bear Stearns Ousts a Top Executive,"Aug. 5, 2007",neutral,0.7115566730499268
Mortgage Mania Didn’t Grip Everyone,"Aug. 5, 2007",neutral,0.6231122016906738
The Search for Nuance From the Fed,"Aug. 5, 2007",neutral,0.8255452513694763
A Top Official at Bear Stearns Ousted,"Aug. 6, 2007",neutral,0.6549339890480042
"Fallout from U.S. subprime market widens, costing the job of a top banker","Aug. 6, 2007",negative,0.5262564420700073
"Crisis in global markets widens, costing the job of a top banker","Aug. 6, 2007",neutral,0.4727499783039093
Credit crisis fells top Bear Stearns official,"Aug. 6, 2007",negative,0.5381159782409668
Germany Looks Into Subprime Fallout at IKB,"Aug. 6, 2007",neutral,0.6588547229766846
Top Official at Bear Stearns Is Ousted,"Aug. 6, 2007",neutral,0.6027513146400452
"In Germany, U.S. subprime fallout blamed","Aug. 7, 2007",negative,0.4941743016242981
Bush Faults Easy Money for Volatility,"Aug. 9, 2007",negative,0.4004559814929962
Dow Falls 387 Points on New Loan Fears,"Aug. 9, 2007",negative,0.8114088773727417
BNP Paribas freezes funds over subprime plunge,"Aug. 9, 2007",neutral,0.5392064452171326
"BNP suspends funds, as ECB makes emergency loans","Aug. 9, 2007",neutral,0.5126528143882751
U.S. stocks tumble after European sell-off,"Aug. 9, 2007",negative,0.763434112071991
Bush calls recent market turmoil a natural adjustment,"Aug. 9, 2007",neutral,0.6406953930854797
Stocks tumble as French bank reacts to home loan worries,"Aug. 9, 2007",negative,0.7658849358558655
Bush seeks to reassure amid market turbulence,"Aug. 9, 2007",positive,0.45960140228271484
Credit crisis puts global finance to test,"Aug. 9, 2007",neutral,0.5987802743911743
Europe slammed by U.S. credit crisis,"Aug. 9, 2007",neutral,0.5345357656478882
Paribas Freezes Funds as Subprime Woes Keep Spreading,"Aug. 9, 2007",neutral,0.487756609916687
Stocks Tumble as French Bank  Reacts to Home Loan Worries,"Aug. 10, 2007",negative,0.7658849358558655
Mortgage Losses Echo in Europe and on Wall Street,"Aug. 10, 2007",negative,0.573258638381958
Shaky Markets Prompt Rumors of Who’s in Trouble,"Aug. 10, 2007",neutral,0.7144193649291992
Big French Bank Suspends Funds,"Aug. 10, 2007",neutral,0.5655961632728577
Are European regulators too laissez-faire amid crisis?,"Aug. 10, 2007",neutral,0.8146684765815735
Asian markets fall as credit fears spread,"Aug. 10, 2007",negative,0.6267731189727783
Central banks act again to combat subprime crisis,"Aug. 10, 2007",neutral,0.5665481090545654
U.S. stocks are volatile after global sell-off,"Aug. 10, 2007",negative,0.6821145415306091
U.S. stocks recover some ground after global sell-off,"Aug. 10, 2007",negative,0.4214397966861725
Macquarie leverage model in question during credit crisis,"Aug. 10, 2007",neutral,0.828428328037262
Banks step in as global market rout deepens,"Aug. 10, 2007",neutral,0.5956191420555115
Renaissance Hedge Fund Down 7 Percent,"Aug. 10, 2007",negative,0.7412375211715698
Import Prices Rise on Higher Oil Costs,"Aug. 10, 2007",positive,0.7896541953086853
The Bear Stearns Golf Index,"Aug. 10, 2007",neutral,0.8554461002349854
Europeans Are Wondering About Subprime Exposure,"Aug. 11, 2007",neutral,0.6008355021476746
Fed chief faces his first crisis,"Aug. 11, 2007",neutral,0.7366394400596619
"In a Credit Crisis, Large Mortgages Grow Costly","Aug. 12, 2007",neutral,0.6363657116889954
A Rocky Week for World Markets,"Aug. 12, 2007",neutral,0.6838422417640686
A Week When Risk Came Home to Roost,"Aug. 12, 2007",neutral,0.8115156292915344
"Chicken Little’s Brethren, on the Trading Floor","Aug. 12, 2007",neutral,0.8695682287216187
A market crisis disconnected from reality,"Aug. 12, 2007",neutral,0.8897589445114136
Credit crisis means tough choice for Fed,"Aug. 12, 2007",neutral,0.7404492497444153
How the gears jammed in the housing machine,"Aug. 12, 2007",neutral,0.6894749999046326
Small American investors feel less pain as stocks slide,"Aug. 12, 2007",negative,0.6292771697044373
The no-risk models that weren't,"Aug. 12, 2007",neutral,0.7451953887939453
Small Investors Seen as Safer in Stock Slide,"Aug. 13, 2007",neutral,0.4451074004173279
Most Asian Markets Spring Back From Last Week’s Plunge,"Aug. 13, 2007",positive,0.43002307415008545
Most Global Markets Spring Back From Plunge,"Aug. 13, 2007",neutral,0.47757861018180847
Most global markets spring back,"Aug. 13, 2007",positive,0.48832404613494873
Small investors believed to be safer in stock slide,"Aug. 13, 2007",neutral,0.5238696336746216
ECB takes lead role in calming markets,"Aug. 13, 2007",neutral,0.5547123551368713
Asian markets bounce back,"Aug. 13, 2007",positive,0.7209417223930359
"In Reversal, Japan’s Central Bank Pulls Back $5 Billion","Aug. 14, 2007",neutral,0.4665128290653229
Fallout in Australia from U.S. mortgage losses,"Aug. 14, 2007",negative,0.5998349785804749
ECB hints at a rate increase in September,"Aug. 14, 2007",positive,0.7122231125831604
Most global markets spring back from plunge,"Aug. 14, 2007",neutral,0.47757861018180847
UBS paints a grim picture for investment banking,"Aug. 14, 2007",neutral,0.43908071517944336
Subprime Problems Spread Into Commercial Loans,"Aug. 15, 2007",neutral,0.5242133736610413
China's industrial output slows more than expected,"Aug. 15, 2007",negative,0.6883614659309387
Mortgage fallout leads stocks down worldwide,"Aug. 15, 2007",negative,0.777417004108429
Stocks in Asia and Europe resume slide,"Aug. 15, 2007",negative,0.5782372355461121
Subprime woes extend into commercial paper,"Aug. 15, 2007",neutral,0.5105363726615906
Aegis Files for Bankruptcy,"Aug. 15, 2007",neutral,0.8865005373954773
"Dow Drops 340 Points, Then Recovers Losses","Aug. 16, 2007",negative,0.7571097612380981
U.S. Stocks Open Lower After Major Asian Sell-Off,"Aug. 16, 2007",negative,0.7361631393432617
How a hedge fund star lost it all,"Aug. 16, 2007",neutral,0.7918453812599182
Global stock turbulence gaining momentum,"Aug. 16, 2007",positive,0.685692548751831
Asian countries may soon discover how much they need the U.S.,"Aug. 16, 2007",neutral,0.5765790939331055
HFA Holdings says its funds have benefited U.S. market turmoil,"Aug. 16, 2007",neutral,0.6079955697059631
Asian countries may soon discover how much they need the United States,"Aug. 16, 2007",neutral,0.618512749671936
"U.S. stocks slide, joining global sell-off","Aug. 16, 2007",negative,0.7299438118934631
Asian markets continue slump after Wall Street losses,"Aug. 16, 2007",negative,0.7193320393562317
Global stock retreat gaining momentum,"Aug. 16, 2007",positive,0.7003390192985535
Countrywide’s Big Credit Draw Fuels Market Fears,"Aug. 16, 2007",neutral,0.4747323989868164
Lenders in Canada Act to Fix a Problem in Their Debt Market,"Aug. 17, 2007",neutral,0.7390649318695068
Big Changes and Big Loan for Lender,"Aug. 17, 2007",neutral,0.7087592482566833
"At Treasury, the Secretary Waits It Out","Aug. 17, 2007",neutral,0.8680769801139832
"With Markets Moving Wildly, Insight Suffers","Aug. 17, 2007",neutral,0.5600391030311584
Asia Seen as Better Able to Deflect Waves From U.S.,"Aug. 17, 2007",positive,0.7596789598464966
Fed cuts discount rate in surprise move,"Aug. 17, 2007",neutral,0.405568391084671
"Once Goldman’s Hammer, Paulson Now Waits It Out","Aug. 17, 2007",neutral,0.8072382211685181
"Markets Quake, and a ‘Neutral’ Strategy Slips","Aug. 18, 2007",neutral,0.42010003328323364
The Fed’s Sudden Action Eases a Logjam in Corporate Borrowing,"Aug. 18, 2007",negative,0.40219393372535706
Being Right Is Bittersweet for a Critic of Lenders,"Aug. 18, 2007",neutral,0.790895938873291
"Fearing Slide in Economy, Fed Cuts Its Discount Rate","Aug. 18, 2007",negative,0.5404468774795532
No Stomach for Risk? Maybe It’s Time to Change Your Diet,"Aug. 19, 2007",neutral,0.7212749719619751
How Missed Signs Contributed to a Mortgage Meltdown,"Aug. 19, 2007",negative,0.49008217453956604
Letters,"Aug. 19, 2007",neutral,0.8214241862297058
"Credit time bomb ticked, but few were listening","Aug. 19, 2007",neutral,0.6656861901283264
"In past, clues to way Fed chief met mortgage crisis","Aug. 19, 2007",neutral,0.8088025450706482
"Despite market tumoil, Wall Street's playground still buzzes","Aug. 20, 2007",neutral,0.6791515350341797
Missed Signs in a Mortgage Meltdown,"Aug. 20, 2007",negative,0.5581445693969727
"Democrats, Blaming a Hands-Off Approach, Press for Action to Aid Homeowners","Aug. 21, 2007",neutral,0.45911452174186707
HSBC in Talks to Acquire a Big Stake in Korean Bank,"Aug. 21, 2007",neutral,0.7984312772750854
Dodd Expresses Confidence in Fed,"Aug. 21, 2007",positive,0.5527051091194153
Democrats push for aid for struggling homeowners,"Aug. 21, 2007",neutral,0.5132985711097717
China raising interest rates in a bid to stabilize inflation,"Aug. 21, 2007",positive,0.52250736951828
China raising interest rates in bid to cool inflation,"Aug. 21, 2007",positive,0.5306984782218933
"Europe buys bonds, but is upbeat","Aug. 21, 2007",positive,0.45589137077331543
Senate banking chief says Fed is ready to use 'all tools' to stabilize markets,"Aug. 21, 2007",positive,0.48449593782424927
Finance chiefs of Japan and the U.S. pledge to watch jittery markets,"Aug. 21, 2007",positive,0.4585909843444824
"Europe buying bonds, but upbeat","Aug. 21, 2007",positive,0.5662950873374939
"Despite Market Turmoil, Harvard Posts Gains","Aug. 21, 2007",positive,0.7866020202636719
Fed Seeks Balance as Investors Clamor for Action,"Aug. 22, 2007",neutral,0.671218991279602
European Banks Still Wary on Lending,"Aug. 22, 2007",positive,0.3584602475166321
"Stocks End Mixed, With Credit Move Awaited","Aug. 22, 2007",negative,0.6146592497825623
Developer’s Big Manhattan Move Faces a Time and Credit Squeeze,"Aug. 22, 2007",neutral,0.7842894792556763
ECB acts to dispel clouds over European credit markets,"Aug. 22, 2007",neutral,0.5676136016845703
"Harry Macklowe, the highflying New York developer, may be getting his wings clipped","Aug. 22, 2007",neutral,0.8371455073356628
"Investors, flush with cash, seek Asia deals","Aug. 22, 2007",neutral,0.6332072615623474
"So Many Deals, So Much Debt","Aug. 22, 2007",neutral,0.890580952167511
"Lehman to Close Subprime Unit and Cut 1,200 Jobs","Aug. 22, 2007",negative,0.6406733989715576
"Li Ka-shing, Asia's answer to Warren Buffett, talks economics","Aug. 23, 2007",neutral,0.7609179019927979
Bank of Japan keeps interest rate steady,"Aug. 23, 2007",positive,0.5149831771850586
Top Banks Tap Federal Reserve for Financing,"Aug. 23, 2007",neutral,0.6428667306900024
Foreclosures Force Britons to Ponder Shift to Fixed Rates,"Aug. 24, 2007",neutral,0.4206258952617645
Japan: Interest Rates Are Held Steady,"Aug. 24, 2007",neutral,0.6599884033203125
Analysts Cut Expectations for Economic Growth,"Aug. 24, 2007",negative,0.5217176079750061
Bank of China Shares Plunge,"Aug. 24, 2007",negative,0.6528973579406738
New Home Sales Up 2.8 Percent in July,"Aug. 24, 2007",positive,0.6870436668395996
States Begin Action on Subprime Lending,"Aug. 24, 2007",neutral,0.8161407709121704
"Subprime crisis hits China, as banks disclose exposure","Aug. 24, 2007",neutral,0.5175983905792236
Growing unease over German banks,"Aug. 24, 2007",neutral,0.536377489566803
Analysts are cutting back expectations for economic growth.,"Aug. 24, 2007",negative,0.47398290038108826
New home sales and factory orders rise unexpectedly in U.S.,"Aug. 24, 2007",positive,0.6481261849403381
Subprime problem hits 2 China banks,"Aug. 24, 2007",negative,0.574015200138092
Analysts cut expectations for economic growth,"Aug. 24, 2007",negative,0.5217176079750061
Bank of China Reports Heavy Exposure to Subprime Crisis,"Aug. 24, 2007",neutral,0.5499328374862671
Subprime Troubles Sack HRJ,"Aug. 24, 2007",neutral,0.47198423743247986
"New-Home Sales Climb, Giving Markets a Break","Aug. 25, 2007",positive,0.8233928680419922
"A Turnaround: Stocks Up, Volatility Down","Aug. 26, 2007",negative,0.478598415851593
Home Depot Is Said to Cut Deal’s Price by $1.8 Billion,"Aug. 26, 2007",neutral,0.49780595302581787
Inside the Countrywide Lending Spree,"Aug. 26, 2007",neutral,0.8855219483375549
Mortgage Crisis Forces Sale of German Bank,"Aug. 27, 2007",neutral,0.6575762629508972
Boston Hedge Fund Star Loses $400 Million,"Aug. 27, 2007",neutral,0.5755610466003418
"Banks Can Weather Credit Crisis, but At a Cost","Aug. 27, 2007",neutral,0.6743994355201721
"Rivals Try to Pick Off Bear’s Hedge Fund Clients, Report Says","Aug. 27, 2007",neutral,0.6708716154098511
Bond Guru Asks Bush for Subprime Lifeline,"Aug. 27, 2007",neutral,0.8663221597671509
Consumer Confidence at Lowest in a Year,"Aug. 28, 2007",negative,0.7359440922737122
DBS to inject emergency funds into CDO instrument,"Aug. 28, 2007",neutral,0.7673066854476929
Homeowners struggle with reality of higher rates,"Aug. 28, 2007",neutral,0.46938425302505493
International overview of U.S. financial markets sought,"Aug. 28, 2007",neutral,0.9270038604736328
Calls grow louder for international overview of U.S. markets,"Aug. 28, 2007",neutral,0.5062505602836609
Fed's inflation view puts dent in stocks on both sides of the Atlantic,"Aug. 28, 2007",negative,0.5872597694396973
Consumer confidence slips on both sides of the Atlantic,"Aug. 28, 2007",negative,0.7212240099906921
U.S. Congress split on solution to subprime crisis,"Aug. 28, 2007",neutral,0.6445108652114868
Asia markets drop following Wall Street plunge,"Aug. 28, 2007",negative,0.7544596195220947
Calls Grow for Foreigners to Have a Say on U.S. Market Rules,"Aug. 29, 2007",neutral,0.6638498306274414
Carlyle Makes Loan to Support Affiliate,"Aug. 29, 2007",neutral,0.8656405806541443
Dow Gains Almost 250 Points,"Aug. 29, 2007",positive,0.6845519542694092
Stocks Fall Across Asia After U.S. Losses,"Aug. 29, 2007",negative,0.7576532959938049
Asia markets fall sharply after Wall Street drop,"Aug. 29, 2007",negative,0.7688472867012024
Mortgage crisis hits high end of market,"Aug. 29, 2007",neutral,0.48864519596099854
New signs of damage from loans,"Aug. 29, 2007",negative,0.4891323447227478
Australian fund falls to U.S. subprime crisis,"Aug. 29, 2007",negative,0.6240196824073792
Foreigners Call for Say in U.S. Market Regulation,"Aug. 29, 2007",neutral,0.6497465968132019
Barclays Shares Fall on Report of Credit Market Exposure,"Aug. 29, 2007",negative,0.7881404757499695
Stocks Rally as Investors Chase Deals,"Aug. 30, 2007",positive,0.5208003520965576
Doctors Offering No-Interest Loans to Patients,"Aug. 30, 2007",neutral,0.7801883220672607
Cayman Islands court orders liquidation of Australian-run hedge fund,"Aug. 30, 2007",neutral,0.7366294264793396
Pressure mounts on WestLB to merge after reporting big trading losses,"Aug. 30, 2007",neutral,0.44387131929397583
News Analysis: Credit turmoil leads to better understanding of risk,"Aug. 30, 2007",neutral,0.4736171364784241
Patients in U.S. turn to no-interest loans for health care,"Aug. 30, 2007",neutral,0.5285168886184692
Bush Plans Steps to Help Troubled Borrowers,"Aug. 31, 2007",neutral,0.6048315167427063
Bush Offers Relief for Some on Home Loans,"Aug. 31, 2007",neutral,0.5812005996704102
Growth Pace Accelerated in 2nd Quarter,"Aug. 31, 2007",positive,0.9263412356376648
Why a U.S. Subprime Mortgage Crisis Is Felt Around the World,"Aug. 31, 2007",neutral,0.7968803644180298
Freddie Mac Earnings Drop 45%,"Aug. 31, 2007",negative,0.771696150302887
Bush offers aid to U.S. homeowners,"Aug. 31, 2007",neutral,0.6178743243217468
Subprime crisis prompts backlash against hedging techniques,"Aug. 31, 2007",neutral,0.7137544751167297
Bush will offer relief for some on home loans,"Aug. 31, 2007",neutral,0.606816291809082
"Learning the Downside of Derivatives, the Hard Way","Aug. 31, 2007",neutral,0.8674518465995789
When Bulls and Bears Act Unruly on a Seesaw,"Sept. 1, 2007",neutral,0.7835365533828735
No Rush to Snap Up Lenders,"Sept. 1, 2007",neutral,0.7424583435058594
Awaiting Subprime’s Fallout,"Sept. 2, 2007",neutral,0.6653931140899658
Can the Mortgage Crisis Swallow a Town?,"Sept. 2, 2007",neutral,0.8390300273895264
"When Risk Is Home-Grown, Is It Time to Look Abroad?","Sept. 2, 2007",neutral,0.8763124942779541
The fallout from foreclosures  begins  to engulf middle-class communities,"Sept. 2, 2007",neutral,0.5013675689697266
Financial monitor sees limited subprime fallout,"Sept. 3, 2007",neutral,0.511451780796051
IKB forecasts €700 million loss on subprime pain,"Sept. 3, 2007",negative,0.6600847840309143
"In Asia, Private Equity Is Still Bullish","Sept. 4, 2007",neutral,0.5532035827636719
"After devouring Yukos, Rosneft is hungry for cash","Sept. 4, 2007",neutral,0.592949390411377
Deutsche Bank chief says markets are improving,"Sept. 4, 2007",positive,0.834004819393158
"With subprime doubt about, summer market blues persist","Sept. 5, 2007",neutral,0.5226172208786011
OECD cuts forecast for U.S. growth amid housing slump,"Sept. 5, 2007",negative,0.6377854943275452
Credit card companies pursue subprime borrowers,"Sept. 5, 2007",neutral,0.9113888740539551
Germany Renews Call for Hedge Fund Oversight,"Sept. 5, 2007",neutral,0.5306848287582397
Deutsche Bank Chief Strikes Optimistic Chord,"Sept. 5, 2007",positive,0.4359007477760315
The Big Drought in Buyout-Land,"Sept. 5, 2007",neutral,0.773688018321991
S.E.C. Says It’s on Watch for Special Strains,"Sept. 6, 2007",neutral,0.6889899373054504
A Citigroup Investment Chief Is Shutting a Hedge Fund,"Sept. 6, 2007",neutral,0.8600042462348938
Stocks Slip as Fed Says Credit Crisis Is Contained,"Sept. 6, 2007",negative,0.6602317094802856
"Edward Gramlich, 68, Dies; Ex-Governor of Fed","Sept. 6, 2007",neutral,0.7544304728507996
Troubled Irish Company Allowed to Revamp,"Sept. 6, 2007",neutral,0.6783992648124695
Impact of U.S. crisis to linger in Europe,"Sept. 6, 2007",neutral,0.5771483182907104
Troubled Irish financial company is allowed to restructure,"Sept. 6, 2007",neutral,0.8587753772735596
ECB holds off on raising its benchmark interest rate,"Sept. 6, 2007",neutral,0.4626880884170532
Seoul court suspends prison term for Hyundai chairman,"Sept. 6, 2007",neutral,0.6121550798416138
A Seoul court suspended a prison term for Hyundai Motor's chairman,"Sept. 6, 2007",neutral,0.5046496987342834
ECB provides emergency funds to money markets,"Sept. 6, 2007",neutral,0.8835940957069397
Central banks worldwide moved to stem damage from the U.S. credit rout,"Sept. 6, 2007",positive,0.3810845911502838
S.E.C. Keeps Eye on Conduits,"Sept. 6, 2007",neutral,0.5949888825416565
Europe’s Bank Leaves Key Interest Rate Unchanged,"Sept. 7, 2007",neutral,0.52217036485672
Some Short-Term Canadian Debt Paper Is Snagged in Credit Crisis,"Sept. 7, 2007",neutral,0.46668967604637146
An activist investment firm asks for a review of HSBC strategy,"Sept. 7, 2007",neutral,0.8680227398872375
Economic optimism spreading in the Philippines,"Sept. 7, 2007",positive,0.6018938422203064
Not the Decade to Go Shopping With a Wallet Full of Stocks,"Sept. 8, 2007",neutral,0.8617815375328064
Off the Charts: How have stocks done this decade? Don't ask,"Sept. 8, 2007",neutral,0.6639251708984375
"It’s Monetary Policy, Not a Morality Play","Sept. 9, 2007",neutral,0.9121952652931213
It’s Time to Take a Deep Breath,"Sept. 9, 2007",neutral,0.7808023691177368
Bond fund investors could be next to feel subprime woes,"Sept. 10, 2007",neutral,0.6569082736968994
Possible U.S. economic downturn draws concern of central bankers,"Sept. 10, 2007",neutral,0.4619317352771759
Fed Chief Concerned on Trade Balance,"Sept. 11, 2007",neutral,0.6307123303413391
U.S. Fed chief sees risks from lopsided trade,"Sept. 11, 2007",negative,0.4016484320163727
Dollar plumbs new lows against euro,"Sept. 12, 2007",negative,0.44852209091186523
Oil prices rise to record despite OPEC action,"Sept. 12, 2007",positive,0.6831936836242676
Subprime ripple effect hits retail real estate,"Sept. 12, 2007",negative,0.5906204581260681
GMAC Bonds Rally as Citi Offers $21 Billion Financing,"Sept. 12, 2007",positive,0.5766348242759705
Euro Hits New High; Oil Nears $80 a Barrel,"Sept. 13, 2007",positive,0.7388263940811157
Paulson Asks Executives to Help in Mortgage Crisis,"Sept. 13, 2007",neutral,0.6864064931869507
Dollar's retreat raises fear of collapse,"Sept. 13, 2007",negative,0.3976607322692871
Floyd Norris: Calling Dr. Bernanke,"Sept. 13, 2007",neutral,0.8652299046516418
Dollar touches a record low against euro on fears rate gap will shrink,"Sept. 13, 2007",negative,0.43612363934516907
Dog Days for Goldman’s Global Alpha,"Sept. 13, 2007",neutral,0.6786273717880249
British Lender Offered Emergency Loan,"Sept. 14, 2007",neutral,0.7411067485809326
Britain bails out mortgage lender hit by credit crunch,"Sept. 14, 2007",negative,0.4717557430267334
Bank of England to bail out Northern Rock,"Sept. 14, 2007",neutral,0.6411137580871582
