,0
12,"LONDON —The dollar fell to an all-time low versus the euro Thursday on speculation that signs of slowing U.S. economic growth will prompt the Federal Reserve to cut interest rates next week, narrowing the rate advantage over Europe.Though it recovered in later trading, the dollar was poised for its longest streak of declines since October 2004 as investors increased bets that the Fed will reduce its target rate on Sept. 18.After falling against other major currencies for much of the year, the dollar's decline picked up speed significantly starting Friday, when U.S. government data showed that businesses reduced net employment by 4,000 in August and that job growth had been weaker in June and July than previously thought.""Over all, we're still in a weak dollar environment,"" said Mitul Kotecha, head of currency strategy at Calyon in London. ""Concerns about the U.S. economy have intensified, and that's played negatively for the dollar.""The euro touched $1.3920 in London trading before retreating to $1.3884 in midday trading, down from $1.3913 late Wednesday in New York. The dollar rose to ¥114.80 from ¥114.12, while the pound eased to $2.0263 from $2.0310.Besides the dollar's weakness, markets are worried also about the price of oil. Crude oil for October delivery was at $79.78 a barrel Thursday. It touched $80.18 on Wednesday, its highest intraday price since trading began in 1983, on concern storms in the Gulf of Mexico and the Atlantic may disrupt output.Traders also added to bets that the European Central Bank will raise interest rates from the current 4 percent to curb rising prices as crude oil advanced.""Oil is surging, so there's an upside risk to inflation in Europe,"" said Hideaki Inoue, chief manager of derivatives and fixed-income investment at Mitsubishi UFJ Trust & Banking in Tokyo. ""The ECB is hawkish, so rates are likely to go up.""If U.S. rates were to drop while European rates remained unchanged or even rose, as many investors are expecting, traders would probably further bid up the value of euro.Interest-rate futures show a 74 percent likelihood the Fed will lower borrowing costs by half a percentage point to 4.75 percent. A month ago, traders expected a quarter-point cut.Central bankers and economists are worried that a squeeze on credit caused by concern over losses linked to subprime mortgages may have negative consequences on the U.S. economy.""The subprime loan problem is the main worry for investors,"" said Xing Wei of Shinsei Bank in Tokyo.Banks and companies are seeking to refinance about $700 billion worth of commercial paper in the U.S. currency this week, according to analysts at Citigroup. Borrowers in the commercial paper market are struggling to sell new notes because of concern some of the short-term debt is linked to subprime-mortgage assets.""The dollar is not in a great position,"" said David Gilmore, a partner at Foreign Exchange Analytics in Essex, Connecticut. ""The confidence level is eroding in the face of the credit market crisis, which is very much subprime related and mortgage market related. And it is now complicated by the fact that the real economy is slowing."""
13,
14,"LONDON, Sept. 14 —British financial authorities said today that they had extended an emergency loan to rescue a big mortgage bank, as the effects of a global credit crunch stemming from the crisis in the American subprime lending business spread to one of the world’s most buoyant housing markets.The British government said it had authorized the Bank of England to provide a “liquidity support facility” of unspecified size to Northern Rock, a mortgage lender based in Newcastle, England, that has expanded aggressively in recent years.The news prompted a sell-off in the shares of Northern Rock and other British bank stocks as investors worried about the possibility of similar problems at other institutions, as well as threats to the broader economy.The FTSE 100 share index had fallen by more than 130 points by around noon in London today.Northern Rock’s need for emergency financing represents a significant broadening of the effects of the crisis in global financial markets, analysts said, because until now problems at European banks have stemmed mostly from their direct exposure to United States subprime loans.Northern Rock, by contrast, said it had only a small amount of subprime loans in its portfolio, and British regulators said it “has a good quality loan book.”Instead, it ran into problems when the squeeze in capital markets undermined the bank’s business model. Northern Rock has relied heavily on raising money in the capital markets, rather than consumer bank deposits, to finance its mortgage lending.With other banks increasingly reluctant to extend new credit, Northern Rock said it faced the possibility of being unable to meet existing obligations.“The problems are potentially much wider now,” said Jonathan Loynes, an economist at Capital Economics, a consultancy in London. “This means we have to worry about a wider range of institutions that aren’t directly involved in this credit crisis, but are in a way innocent bystanders.”The move came only two days after Mervyn King, governor of the Bank of England, warned that moves by other central banks, like the Federal Reserve and the European Central Bank, which pumped extra liquidity into the financial system in recent weeks, could encourage “excessive risk-taking” by rewarding bad behavior.The Bank of England emphasized Friday that its lending to Northern Rock would be conducted at a premium to market interest rates."
15,"LONDON —The British financial authorities said Friday that they had extended an emergency loan to rescue a big mortgage bank as the effects of a global credit crunch stemming from the crisis in the U.S. subprime home lending business spread to one of the most buoyant housing markets in the world.The British government said it had authorized the Bank of England to provide a ""liquidity support facility"" of unspecified size to Northern Rock, a mortgage lender based in Newcastle, England, that has expanded aggressively in recent years.The news prompted a sell-off in the shares of Northern Rock and other British bank stocks as investors worried about the possibility of similar problems at other institutions, as well as threats to the broader economy. The FTSE 100 index was down more than 2 percent in midday trading in London, and shares elsewhere in Europe fell sharply as well.Northern Rock's need for emergency funding represents a significant broadening of the effects of the crisis in global financial markets, analysts said, because until now problems at European banks have stemmed mostly from their direct exposure to U.S. subprime loans.Northern Rock, by contrast, said it had only a small amount of subprime loans in its portfolio, and British regulators said it ""has a good quality loan book.""Instead, it ran into problems when the squeeze in capital markets undermined the bank's business model. Northern Rock has relied heavily on raising money in the capital markets, rather than consumer bank deposits, to finance its mortgage lending. With other banks increasingly reluctant to extend new credit, Northern Rock said it faced the possibility of being unable to meet existing obligations.""The problems are potentially much wider now,"" said Jonathan Loynes, an economist at Capital Economics, a consultancy firm in London. ""This means we have to worry about a wider range of institutions that aren't directly involved in this credit crisis but are in a way innocent bystanders.""The move came only two days after Mervyn King, the governor of the Bank of England, warned that moves by other central banks, like the Federal Reserve and the European Central Bank, which pumped extra cash into the financial system in recent weeks, could encourage ""excessive risk-taking"" by rewarding bad behavior.The Bank of England emphasized Friday that its lending to Northern Rock would be conducted at a premium to market interest rates.Because Northern Rock and other mortgage lenders will now have to pay more to raise money, they will have to pass along higher interest rates to consumers, analysts say. That will cause a slowdown in lending, they added, which could act as a drag on the British housing market and, perhaps, the economy.""Costs for first-time borrowers, already stretched in the affordability stakes, will rise substantially,"" said Paul Mortimer-Lee, an economist at BNP Paribas. ""First-time buyer activity seems pretty certain to show a sharp fall, which, since the whole market rests on the shoulders of the first-time buyer, is like throwing a spanner in the works of the whole market.""While the British housing market has soared over the last decade, repeatedly defying many analysts' warnings that valuations were overstretched, there have been some signs of a slowdown lately. A survey released this week by the Royal Institute of Chartered Surveyors, a real estate group, showed that prices in August fell in more areas of Britain than they rose.But other surveys have shown continued increases, particularly in London, where an influx of buyers from Russia, the Middle East and elsewhere has fueled a surge in the cost of high-end homes.Some analysts said the news of the bailout of Northern Rock could raise the specter of an old-fashioned ""run"" on the bank, as account-holders rush to reclaim their deposits. While the BBC reported on its Web site that there were long lines at some Northern Rock branches Friday morning, Adam Applegarth, chief executive of the bank, said account holders should not worry.""I'm a depositor with Northern Rock,"" he said in a conference call with financial analysts. ""Knowing that we have an uncapped facility with the Bank of England - you don't get better than the Bank of England.""Northern Rock approached the central bank, Applegarth said, because of the ""astonishing"" conditions in the markets that it had used to raise financing, and because ""we could see no end to this in the short term.""He said the bank, whose level of residential lending in the first eight months of the year was 55 percent higher than a year earlier, had been more aggressive than some of its rivals in using ""wholesale funding"" rather than deposits to back its loans.""With hindsight, if we had seen this coming, would we have run the same strategy? No,"" he said. ""But hindsight is a great thing, and I don't think anybody else saw this coming either.""Now the bank will cut back on lending, as well as cut costs through a hiring freeze and other steps, he said.""I don't expect us to move back to the volume of lending we were doing before,"" Applegarth said. ""I think those volume days are in the past.""Some analysts said Northern Rock could become a takeover target.Meanwhile, the Bank of England said it stood ready to make similar loans to other banks facing short-term liquidity problems, in its role as ""lender of last resort.""News of the problems at Northern Rock prompted analysts to back away from predictions that the Bank of England, which has been raising interest rates, would continue to do so."
16,"LONDON —The Bank of England has offered an emergency loan to Northern Rock after the mortgage lender became the biggest British casualty so far of the credit squeeze sparked by the crisis in U.S. subprime mortgage markets.Britain's finance minister said on Friday he had authorised the Bank of England to provide an unspecified amount of financial support to Northern Rock, which was the country's biggest mortgage lender in the first half of this year.While it has no exposure to subprime loans, Northern Rock has proved vulnerable to the liquidity squeeze triggered by the U.S. subprime lending crisis because it has a small deposit base and so has to draw most of its funding from money markets.Interbank lending costs rose to their highest level for nine years this week as banks scaled back lending to each other.Northern Rock said on Friday a decision to rein back lending and the higher cost of funding would hit profits this year and next. It said it now expected an underlying 2007 pretax profit of £500 to £540 million, or $1.1 billion, compared with analysts' current consensus forecast of 647 million.It also expected a ""consequential impact"" on 2008 profit.""The decision to provide a liquidity support facility to Northern Rock reflects the difficulties that it has had in accessing longer term funding and the mortgage securitisation market, on which Northern Rock is particularly reliant,"" the government said in a statement on Friday written in conjunction with the Bank of England and Financial Services Authority (FSA).""The FSA judges that Northern Rock is solvent, exceeds its regulatory capital requirement and has a good quality loan book,"" it added.The Bank of England said earlier this week it would not bail out insolvent institutions."
17,"LONDON —A bailout of a big British mortgage bank caused shudders among account-holders and investors alike Friday, opening a new phase in the global financial turmoil that emanated from a shakeout in the U.S. home lending business, analysts said.Depositors flocked to withdraw money after the bank, Northern Rock, unable to raise funds from its usual sources - capital markets - because of the global credit crunch, turned to the Bank of England for an emergency loan. Northern Rock shares plunged more than 30 percent, prompting a broader sell-off in European stock markets.While other European banks have gotten burned by investments tied to shaky U.S. mortgages, known as subprime, Northern Rock said it had only a small subprime exposure in its portfolio. Instead, the bank ran into trouble because the credit squeeze undermined its business model. Northern Rock relies heavily on raising money in the capital markets, rather than consumer deposits, to finance its mortgage lending.""The problems are potentially much wider now,"" said Jonathan Loynes, an economist at Capital Economics, a consultancy in London. ""This means we have to worry about a wider range of institutions that aren't directly involved in this credit crisis but are in a way innocent bystanders.""The British government said it had authorized the Bank of England to provide a ""liquidity support facility"" of unspecified size to Northern Rock, based in Newcastle, England, which has expanded aggressively in recent years.The news prompted a sell-off in the shares British banks as investors worried about the possibility of similar problems at other institutions - as well as threats to the broader economy. The FTSE 100 index was down more than 2 percent at midday but recovered to close down 1.17 percent. Shares elsewhere in Europe fell less sharply.""I don't think the worst is behind us,"" Jean-Claude Juncker, who chaired a meeting of European finance ministers and central bankers Friday, said during a news conference in Porto, Portugal, Reuters reported.The U.S. Federal Reserve and the European Central Bank have been under pressure to keep key interest rates low or even cut them as the market turmoil threatens to choke economic growth. The Bank of England has raised its rates several times in recent months to try to cool a frothy housing market, which while driving economic growth has also raised fears of a bubble.The emergency loan to Northern Rock came only two days after Mervyn King, the governor of the Bank of England, warned that moves by other central banks, like the Fed and ECB, to pump extra cash into the financial system in recent weeks could encourage ""excessive risk-taking"" by rewarding bad behavior.On Friday, the Bank of England emphasized that Northern Rock would have to pay a premium to market interest rates for its emergency credit line, offered under the central bank's role as ""lender of last resort.""""Northern Rock is solvent, exceeds its regulatory capital requirement and has a good quality loan book,"" the Bank of England, the Financial Services Authority and the Treasury said in a joint statement.But those words failed to soothe some Northern Rock customers. Account-holders rushed to branches throughout Britain, many of them reportedly withdrawing large amounts of money.Outside a Northern Rock branch in central London, Constance Hackford, a manager at an interior design firm, weighed joining a line of about two dozen people.""I can't imagine the Bank of England is going to let it fail - can they?"" she said. ""I've got rather a lot of money in there. Maybe I should spread my bets a bit.""A spokesman for Northern Rock said Friday afternoon that the bank did not have any estimates yet of the amount that had been withdrawn.Because Northern Rock - and, perhaps, other British mortgage lenders - will now have to pay more to raise money for loans, they will have to pass along higher interest rates to consumers, analysts say. That will cause a slowdown in lending, they added, which could act as a drag on the housing market in Britain, which has soared over the last decade.""Costs for first-time borrowers, already stretched in the affordability stakes, will rise substantially,"" said Paul Mortimer-Lee, an economist at BNP Paribas. ""First-time buyer activity seems pretty certain to show a sharp fall, which, since the whole market rests on the shoulders of the first-time buyer, is like throwing a spanner in the works of the whole market.""There have been some signs of a slowdown lately. A survey released this week by the Royal Institute of Chartered Surveyors, a real estate group, showed that prices in August fell in more areas of Britain than they rose. And several British banks have already increased raised their lending rates in recent days.Adam Applegarth, chief executive of Northern Rock, said the bank would cut back on issuing new loans, as well as cut costs through a hiring freeze and other steps. But the bank on Friday also downgraded its profit outlook for this year and next year.""I don't expect us to move back to the volume of lending we were doing before,"" Applegarth said. ""I think those volume days are in the past.""He said the bank, whose level of residential lending in the first eight months of the year was 55 percent higher than a year earlier, had been more aggressive than some of its rivals in using ""wholesale funding"" rather than deposits to back its loans.Analysts said the bank's business model was based on issuing large numbers of loans, with thin margins between the rates it charged mortgage-holders and those that it paid for its funding. Northern Rock converted from a ""building society,"" or member-owned lender, to a publicly traded bank a decade ago.""With hindsight, if we had seen this coming, would we have run the same strategy? No,"" Applegarth said. ""But hindsight is a great thing, and I don't think anybody else saw this coming either.""Northern Rock said it had only £75 million, or $150 million, in direct exposure to the U.S. subprime market, with £200 million in exposure to U.S. collateralized debt obligations, some of which was indirectly exposed to the subprime market. But together, that represents less than one-quarter of one-percent of the bank's total assets, it said.That distinguishes Northern Rock from other European banks, like BNP Paribas in France and IKB Deutsche Industriebank in Germany, which were hurt by large direct exposure to the U.S. subprime market.But with banks increasingly reluctant to issue anything other than short-term credit, Northern Rock faced the possibility of being unable to meet existing obligations.Northern Rock approached the central bank, Applegarth said, because of the ""astonishing"" conditions in the markets that it had used to raise financing, and because ""we could see no end to this in the short term.""Some analysts said Northern Rock could now become a takeover target.Others said the bank could emerge intact from the current turmoil, assuming the credit crunch eases.While repossessions of homes have been rising in Britain over the last year, Northern Rock has a generally sound portfolio, they said. Less than one-half of 1 percent of the bank's mortgage loans are more than three months in arrears, Northern Rock said. That is less than half the British industry average.""We think there is a strong bank here, but with a vulnerability, which is its sources of funding,"" said Matthew Taylor, an analyst at Fitch Ratings, which downgraded some of the bank's credit ratings Friday.At the EU finance ministers' meeting in Portugal, officials said the fallout of the recent market turbulence would be limited for the real economy.""We're all aware the risks of lower growth have increased,"" European Economic and Monetary Affairs Commissioner Joaquin Almunia said, according to Reuters.But he, Juncker and the ECB president, Jean-Claude Trichet, all stuck to forecasts of only marginally lower growth this year than the 2.7 percent rise in gross domestic product seen in 2006,"
18,
19,
20,"Merrill Lynch warned yesterday that shaky credit markets forced it to reduce the value of securities linked to risky subprime mortgages and other products, a move that could hurt third-quarter profit.Merrill shares initially fell 3.5 percent on the news, but recovered most of the loss before closing at $74.65, down 49 cents, or 0.65 percent.The announcement was a potential danger signal for other large American brokerage firms and investment banks that report earnings next week. Some Wall Street heavyweights like Goldman Sachs, Morgan Stanley, Bear Stearns and Lehman Brothers could be affected.Kathleen Shanley, an analyst at the independent fixed-income research firm GimmeCredit, said she was disappointed that Merrill did not provide more details.Merrill Lynch is one of the largest issuers of collateralized debt obligations. Its investment bank also packages pools of subprime loans into securities for investors, and Merrill is exposed to the crisis in the subprime lending industry through its First Franklin Financial unit.Merrill paid $1.3 billion for First Franklin in late December, and some analysts have said they expected the company to write down a portion of that amount.Merrill Lynch’s retained stake in securitized assets, including residential mortgages packaged into bonds, was $10.3 billion at the end of June.Merrill Lynch said it made the disclosure in anticipation of closing its acquisition of First Republic Bank, which is scheduled for next Friday."
21,"LONDON, Sept. 14 — Depositors of a big British mortgage lender, Northern Rock, rushed to withdraw money on Friday after the bank, unable to raise financing because of the tight credit market, turned to the Bank of England for an emergency loan.Nervous investors also dumped Northern Rock shares, which fell 31 percent.The bailout, analysts said, was the latest indication that the turmoil that began in the subprime market in the United States had expanded into other areas.While other European banks have been hurt by investments in financial vehicles backed by subprime loans, Northern Rock said it had limited subprime exposure.Instead, the bank ran into trouble because the tighter credit undermined its business model, which relied on financing mortgages by raising money in the capital markets, rather than depending on consumer deposits.“The problems are potentially much wider now,” said Jonathan Loynes, an economist at Capital Economics, a consulting firm in London. “This means we have to worry about a wider range of institutions that aren’t directly involved in this credit crisis but are in a way innocent bystanders.”The bailout came two days after the governor of the Bank of England, Mervyn King, warned that moves by other central banks, like the Federal Reserve and the European Central Bank, which have pumped additional liquidity into the system, could encourage “excessive risk-taking” by rewarding bad behavior.The Bank of England emphasized Friday that Northern Rock would have to pay a premium to market interest rates for its emergency credit line, offered under the bank’s role as “lender of last resort.”“Northern Rock is solvent, exceeds its regulatory capital requirement and has a good quality loan book,” the Bank of England, the Financial Services Authority and the Treasury said in a joint statement. But those words did not mollify some Northern Rock customers. Account holders lined up at many of the bank’s 70-plus branches, many of them reportedly withdrawing large sums.Outside a branch in central London, Constance Hackford, a manager at an interior design company, weighed joining a line of about two dozen people. “I can’t imagine the Bank of England is going to let it fail — can they?” she said.A spokesman for Northern Rock said Friday that the bank did not have any estimates yet of how much money had been withdrawn.One reason Northern Rock customers may be nervous is that there is less protection for account holders in Britain than in the United States in case a bank fails. Deposits are insured up to £31,700, or about $64,000, compared with up to $100,000 in the United States.Adam J. Applegarth, chief executive of Northern Rock, said account holders should not worry. “I’m a depositor with Northern Rock,” he said in a conference call. “Knowing that we have an uncapped facility with the Bank of England — you don’t get better than the Bank of England.” Because Northern Rock — and, perhaps, other British mortgage lenders — will have to pay more to raise money for loans, they will have to pass along higher rates to consumers, analysts say. That could cause a slowdown in lending, they added, which could act as a drag on the country’s housing market, which has soared over the last decade.“Costs for first-time borrowers, already stretched in the affordability stakes, will rise substantially,” said Paul Mortimer-Lee, an economist at BNP Paribas. “First-time buyer activity seems pretty certain to show a sharp fall, which, since the whole market rests on the shoulders of the first-time buyer, is like throwing a spanner in the works of the whole market.”There have been some signs of a slowdown. A survey released this week by the Royal Institute of Chartered Surveyors, a real estate group, showed that prices in August fell in more areas of Britain than they rose. Several banks have increased lending rates.Mr. Applegarth said Northern Rock would cut back on issuing new loans, as well as cutting costs through a hiring freeze and other steps. The bank on Friday downgraded its profit outlook for this year and next year.He said the bank, whose level of residential lending in the first eight months was 55 percent higher than a year earlier, had been more aggressive than some of its rivals in using “wholesale funding” rather than deposits to back its loans.Northern Rock said it had £75 million ($152 million) in direct exposure to the subprime market, with £200 million ($405 million) in exposure to collateralized debt obligations, some of which is exposed to the subprime market.Together, that represents less than one-quarter of 1 percent of the bank’s total assets, it said.Northern Rock approached the central bank, Mr. Applegarth said, because of the “astonishing” conditions in the markets that it had used to raise financing, and because “we could see no end to this in the short term.”Some analysts said Northern Rock could become a takeover target while others said the bank could emerge intact, assuming that credit problems ease.While repossessions of homes have been rising in Britain, analysts said that Northern Rock has a generally sound mortgage portfolio. Fewer than one-half of 1 percent of the bank’s mortgage loans are more than three months in arrears, Northern Rock said; that is less than half the British industry average.“We think there is a strong bank here, but with a vulnerability, which is its sources of funding,” said Matthew Taylor, an analyst at Fitch Ratings, which downgraded some of the bank’s credit ratings Friday."
22,"PARIS, Sept. 17  Treasury Secretary Henry M. Paulson Jr. said today that turmoil in the world’s financial markets could continue for some time. But he cautioned against the hasty introduction of new regulations that could stymie innovation and slow economic growth.Mr. Paulson, who met in Paris with President Nicolas Sarkozy of France and the finance minister, Christine Lagarde, said financial turbulence after a credit crisis this summer “will be with us for a while,” particularly in markets linked to subprime mortgages.But Mr. Paulson also warned that imposing new regulations could be counterproductive at a time when the global economy remains robust.“The whole world and the U.S. have benefited from innovative financing techniques and innovation in terms of securitization and credit availability, and so we need to think this through carefully and don’t rush to judgment and overreact,” Mr. Paulson said. “We have to get the balance right.”During his trip to Paris, which is being followed by a trip to London to meet with Alistair Darling, Britain’s chancellor of the Exchequer, Mr. Paulson appeared to endorse Dominique Strauss-Kahn, a Frenchman, to become the next managing director of the International Monetary Fund.Mr. Paulson said he already saw eye to eye with Mr. Strauss-Kahn over the need to change the I.M.F. so that the institution could play a continuing role in the global financial system. “I am very positive on Dominique Strauss-Kahn,” Mr. Paulson said, adding that he is “a very strong candidate.”Mr. Paulson also said his visit to Paris marked “a new, very positive era of American and French relations.” He praised President Sarkozy for undertaking changes aimed at creating jobs and at bolstering economic growth and said he was in frequent contact with Ms. Lagarde over major economic questions.Ms. Lagarde, speaking later with reporters, said France and the United States were in complete agreement over the need to press China to do more to strengthen the value of its currency.“I think there is a total convergence of views on the imbalance of the values, particularly on the undervaluation of the yuan compared with European values and compared with American values,” she said.Ms. Lagarde said the sudden worsening of the credit crisis late last week in Britain, when the housing lender Northern Rock had to call on the Bank of England for emergency financing, was unlikely to be a signal that of further problems to come in France.The “situation with our large French banks is solid,” she said. “Especially compared with German banks, French banks are in a very good position.”"
23,"PARIS —The U.S. Treasury secretary, Henry Paulson Jr., said Monday that turmoil on the world's financial markets could continue for some time. But he cautioned against the hasty introduction of regulations that could stymie innovation and slow economic growth.Paulson, who met with the President Nicolas Sarkozy and Finance Minister Christine Lagarde of France in Paris, said financial turbulence following a credit crisis this summer ""will be with us for a while,"" particularly in markets linked to subprime mortgages.Paulson also warned that imposing new regulations could be counterproductive at a time when the global economy remained robust.""The whole world and the U.S. have benefited from innovative financing techniques and innovation in terms of securitization and credit availability, and so we need to think this through carefully and don't rush to judgment and overreact,"" Paulson said. ""We have to get the balance right.""Paulson hinted, however, that some action might be necessary to ensure better oversight of hedge funds. ""We are not accepting the status quo,"" said Paulson, who indicated a need to introduce more transparency in the way that hedge funds operate.During his trip to Paris, which is being followed by a trip to London to meet with Alistair Darling, the British chancellor of the Exchequer, Paulson appeared to endorse Dominique Strauss-Kahn, the French candidate to become the next managing director of the International Monetary Fund.Paulson said he already saw eye-to-eye with Strauss-Kahn over the need to reform the IMF so that it could play a continuing role in the global financial system. ""I am very positive on Dominique Strauss-Kahn,"" Paulson said, adding that he was ""a very strong candidate.""Paulson also said his visit to Paris marked ""a new, very positive era of American and French relations."" He praised Sarkozy for undertaking regulatory changes aimed at creating jobs and increasing economic growth, and said he was in frequent contact with Lagarde over key economic questions.Lagarde, speaking later with reporters, said France and the United States were in complete agreement over the need to pressure the Chinese leadership to do more to strengthen the value of the yuan.""I think there is a total convergence of views on the imbalance of the values, particularly on the undervaluation of the yuan compared with European values and compared with American values,"" Lagarde said."
24,"LONDON —Terry Mays and his wife, both British retirees, decided during the weekend that a promise by the Bank of England to provide emergency financing for Northern Rock, the troubled British mortgage lender that has most of their savings, was not sufficient to calm their nerves.The couple joined hundreds of other Northern Rock customers Monday as lines formed for a third day in front of branches where people waited to withdraw their savings.""I don't think the bank will collapse - but we just don't have the nerves,"" he said, surrounded by a group of depositors who had traveled with him to the central London branch from a southern one after being told that the wait there would be at least six hours. ""I took some financial advice over the weekend, and I'm taking the money out to get peace of mind. We're relying on this money for our pension.""Panicky customers have withdrawn an estimated £2 billion, or $4 billion, since the bank acknowledged Friday that it no longer could raise funds because of the credit crunch that has squeezed global markets following a meltdown in the market for subprime loans in the United States.Unlike other banks that have been bailed out because of direct exposure to subprime mortgages, Northern Rock was the first to directly fall victim to the global credit squeeze, because it relied heavily on raising funds in the capital markets.Shares in Northern Rock slumped 33 percent Monday to a seven-year low, dragging European banking stocks lower across the board as jittery investors began scrutinizing banks to determine which ones might have a similar business model.Alliance & Leicester and Bradford & Bingley, two Northern Rock rivals that also tap the capital markets for funding, fell 18 percent and 8 percent respectively Monday. Major financial institutions, including HSBC Holdings, Société Générale of France and Deutsche Bank of Germany also declined, leading a 1.3 percent drop of the European Dow Jones Stoxx 600 index. The FTSE 100 in Britain fell 1.2 percent, and the CAC in France fell 1.6 percent.Northern's woes ricocheted back to the United States, where Citigroup fell 71 cents, or 1.5 percent, to $45.93 in afternoon trading. The S&P 500 fell 0.56 percent.The overnight rate British banks charge to lend pounds to one another soared 60 basis points to 6.47 percent Monday, the highest level in more than a month, according to the British Bankers' Association.Citigroup, Credit Suisse and Merrill Lynch cut their earnings estimates for several European banks Monday, including Northern Rock. Credit Suisse and Merrill said the bank was likely to be bought.""We think the game is over for Northern Rock in its present form,"" a Merrill analyst, John-Paul Crutchley, wrote in a note to investors.The specter of hundreds of Britons lining up to make withdrawals after the unexpected and speedy decline of Northern Rock has also sparked a raft of questions about whether the robust British economy - supported in large part by a heated housing market - would suffer in the aftermath of the subprime mortgage crisis in the United States. The pound fell below $2 for the first time in nearly three weeks.Some economists said that the Northern Rock experience could dent consumer confidence and eventually have an effect on British economic growth. Members of Britain's opposition Conservative party Monday blamed Prime Minister Gordon Brown for ignoring warnings of a ""looming debt crisis"" for the past four years and for encouraging consumers to take on record debt when he was chancellor of the Exchequer during this period.In recent years, British mortgage lenders began offering loans exceeding the value of the properties on which they were based. The easy availability of credit helped prop up property prices and fueled speculation in the real estate market.Mervyn King, the head of the Bank of England, also came under pressure to explain why the bank bailed out Northern Rock only days after refusing to inject liquidity into cash-starved financial markets on the basis that such action encouraged ""excessive risk-taking.""So far, assurances from the Northern Rock chief executive, Adam Applegarth, and the chancellor of the Exchequer, Alistair Darling, that deposits were securely backed by the Bank of England, have failed to impress depositors. In a bid to shore up confidence, Darling announced Monday that the government would guarantee all deposits in Northern Rock even if the bank should collapse and would extend similar guarantees to any other troubled financial institution that approached the government. No other bank or institution had yet approached the Bank of England, he added.Some of those waiting in line to retrieve their savings Monday blamed what they called lax standards at both U.S. and British mortgage lenders for the shortage of funds at Northern Rock.""We had to go through a lengthy process to get a mortgage that was barely more than we earned, and now my son's girlfriend can get double that with hardly any income,"" said one customer, who declined to give his name but said he planned to withdraw his entire savings of more than £100,000. ""That's just not right.""Northern Rock opened at 8 a.m. Monday, one hour earlier than usual, to deal with the expected wave of withdrawals. It had to increase the bandwidth on its Web site, which had struggled with the volume of people trying to access it.Patricia Carlton, a retiree who joined the line at noon Monday at a Northern Rock branch in London, said she decided to withdraw her money after watching the morning news and seeing new lines forming at the bank branches.""I hate to take out the money, but I just don't want to risk anything,"" she said, adding that she did not yet know what she would do with it.Troubles at Northern Rock filled the top headlines in the British press, further spreading nervousness. The BBC wrote on its Web site that clients were besieging branches, while The Evening Standard said that savers had pushed the bank to the ""brink of extinction.""""People are mortified and if savers are continuing to withdraw funds, a sale or split up becomes more likely,"" said Christine Ross, head of financial planning at SG Hambros in London. Large clearing banks like Lloyds, Barclays, HSBC Holdings and Royal Bank of Scotland might profit by scooping up former Northern Rock customers, she said.Jonathan Pierce, a banking analyst at Credit Suisse in London, said that the most likely scenario for Northern Rock was a sale to another bank either ""as a business or division of assets."" Yet, the difficulties have ""severely dented"" the brand, he said.Some customers, including Mays, wished they had the nerves to keep some savings with Northern Rock and wait for the bank to be bought. ""There was speculation that whoever buys it could offer incentives for customers to leave their money in there,"" Mays said. ""But the thing is, you just don't know."""
